Name;ISIN;Symbol;Market;Currency;"Open Price";"High Price";"low Price";"last Price";"last Trade MIC Time";"Time Zone";Volume;Turnover;"Closing Price";"Closing Price DateTime"
AIRBNB;US0090661010;2ABNB;"Trading After Hours";EUR;140.84;140.84;140.84;140.84;"25/06/2024 20:01";CET;7;985.88;130.44;31/07/2024
AIRBNB;US0090661010;1ABNB;"Euronext Global Equity Market";EUR;106.58;106.58;104.04;104.04;"26/08/2024 16:27";CET;54;5743.32;103.96;26/08/2024
AIRBUS;NL0000235190;2AIR;"Trading After Hours";EUR;125.12;127.14;125.12;127.14;"25/07/2024 19:15";CET;2;252.26;139.96;31/07/2024
AIRBUS;NL0000235190;1AIR;"Euronext Global Equity Market";EUR;144.88;144.88;140.20;140.90;"26/08/2024 17:29";CET;1203;'169086.80;141.10;26/08/2024
AIRBUS;NL0000235190;AIR;"Euronext Paris";EUR;140.86;141.52;140.14;141.14;"26/08/2024 17:37";CET;366350;'51657866.76;141.14;26/08/2024
AIRBUS;NL0000235190;4AIR;EuroTLX;EUR;135.00;135.00;135.00;135.00;"'08/08/2024 09:02";CET;10;1350.00;141.14;26/08/2024
AIRTHINGS;NO0010895568;AIRX;"Oslo Børs";NOK;2.70;2.72;2.70;2.72;"26/08/2024 10:56";CET;58291;'157794.86;2.72;26/08/2024
AIRWELL;FR0014003V77;ALAIR;"Euronext Growth Paris";EUR;3.60;3.68;3.60;3.68;"26/08/2024 12:58";CET;154;556.76;3.68;26/08/2024
AIXTRON;DE000A0WMPJ6;1AIXA;"Euronext Global Equity Market";EUR;17.285;17.46;17.285;17.46;"26/08/2024 09:16";CET;5;86.60;17.175;26/08/2024
AIXTRON;DE000A0WMPJ6;2AIXA;"Trading After Hours";EUR;21.06;21.06;21.06;21.06;"'09/07/2024 18:00";CET;100;2106.00;21.65;31/07/2024
AIXTRON;DE000A0WMPJ6;4AIXA;EuroTLX;EUR;25.55;25.61;25.55;25.61;"18/03/2024 11:45";CET;3000;76740.00;17.135;26/08/2024
AJAX;NL0000018034;AJAX;"Euronext Amsterdam";EUR;10.25;10.25;10.10;10.25;"26/08/2024 17:35";CET;641;6538.75;10.25;26/08/2024
"AKAMAI TECHNOL";US00971T1016;1AKAM;"Euronext Global Equity Market";EUR;85.88;85.88;85.88;85.88;"'02/08/2024 16:27";CET;24;2061.12;90.34;26/08/2024
"AKAMAI TECHNOL";US00971T1016;2AKAM;"Trading After Hours";EUR;91.51;91.51;91.51;91.51;"31/07/2024 18:11";CET;11;1006.61;91.51;31/07/2024
"AKAMAI TECHNOL";US00971T1016;4AKAM;EuroTLX;EUR;87.19;87.19;87.19;87.19;"23/07/2024 09:03";CET;70;6103.30;90.47;26/08/2024
AKASTOR;NO0010215684;AKAST;"Oslo Børs";NOK;15.30;15.30;14.62;14.82;"26/08/2024 16:25";CET;130033;'1920968.27;14.82;26/08/2024
AKER;NO0010234552;AKER;"Oslo Børs";NOK;600.00;612.00;600.00;609.00;"26/08/2024 16:25";CET;27740;'16793453.00;609.00;26/08/2024
"AKER BIOMARINE";NO0010886625;AKBM;"Oslo Børs";NOK;99.00;99.80;97.10;97.70;"26/08/2024 16:25";CET;79411;'7812790.80;97.70;26/08/2024
"AKER BP";NO0010345853;AKRBP;"Oslo Børs";NOK;259.00;264.10;258.40;263.50;"26/08/2024 16:27";CET;791063;'207345973.05;263.50;26/08/2024
"AKER CARBON CAPTUR";NO0010890304;ACC;"Oslo Børs";NOK;6.115;6.23;6.09;6.175;"26/08/2024 16:25";CET;2054531;'12690570.23;6.175;26/08/2024
"AKER HORIZONS";NO0010921232;AKH;"Oslo Børs";NOK;2.47;2.538;2.44;2.512;"26/08/2024 16:25";CET;741656;'1851361.14;2.512;26/08/2024
"AKER SOLUTIONS";NO0010716582;AKSO;"Oslo Børs";NOK;46.82;47.40;46.80;47.24;"26/08/2024 16:25";CET;248123;'11700469.64;47.24;26/08/2024
"AKOBO MINERALS";SE0015193412;AKOBO;"Euronext Growth Oslo";NOK;2.18;2.22;2.11;2.11;"26/08/2024 16:28";CET;186046;'400611.45;2.11;26/08/2024
"AKVA GROUP";NO0003097503;AKVA;"Oslo Børs";NOK;66.00;67.40;64.40;64.40;"26/08/2024 11:25";CET;510;33689.40;64.40;26/08/2024
AKWEL;FR0000053027;AKW;"Euronext Paris";EUR;10.34;10.42;10.22;10.28;"26/08/2024 17:35";CET;2490;25608.52;10.28;26/08/2024
"AKZO NOBEL";NL0013267909;AKZA;"Euronext Amsterdam";EUR;56.04;56.48;55.82;56.42;"26/08/2024 17:35";CET;205652;'11584051.46;56.42;26/08/2024
"AKZO NOBEL";NL0013267909;4AKZA;EuroTLX;EUR;55.88;55.88;55.88;55.88;"26/08/2024 10:41";CET;25;1397.00;56.42;26/08/2024
"AKZO NOBEL";NL0013267909;2AKZA;"Trading After Hours";EUR;-;-;-;-;-;CET;-;-;-;-
ALA;IT0005446700;ALA;"Euronext Growth Milan";EUR;20.20;20.40;20.00;20.40;"23/08/2024 10:02";CET;6600;'132465.80;20.40;26/08/2024
"ALAN ALLMAN";FR0000062465;AAA;"Euronext Paris";EUR;6.60;6.60;6.50;6.60;"26/08/2024 17:35";CET;743;4891.10;6.60;26/08/2024
ALCHIMIE;FR0014000JX7;ALCHI;"Euronext Growth Paris";EUR;'0.40;'0.402;'0.40;'0.402;"26/08/2024 16:57";CET;561;225.14;'0.402;26/08/2024
ALCOA;US0138721065;4AA;EuroTLX;EUR;29.00;29.00;29.00;29.00;"16/08/2024 15:32";CET;500;14500.00;30.97;26/08/2024
ALCOA;US0138721065;2AA;"Trading After Hours";EUR;34.64;34.64;34.64;34.64;"17/06/2024 18:22";CET;14;484.96;30.42;31/07/2024
ALCOA;US0138721065;1AA;"Euronext Global Equity Market";EUR;30.51;30.68;30.51;30.68;"26/08/2024 10:04";CET;238;7264.78;31.025;26/08/2024
ALERION;IT0004720733;ARN;"Euronext Milan";EUR;16.78;16.88;16.56;16.62;"26/08/2024 17:35";CET;12740;'212823.18;16.62;26/08/2024
ALFEN;NL0012817175;ALFEN;"Euronext Amsterdam";EUR;16.28;16.48;15.73;16.07;"26/08/2024 17:35";CET;392421;'7152202.34;16.07;26/08/2024
ALFEN;NL0012817175;2ALFEN;"Trading After Hours";EUR;-;-;-;-;-;CET;-;-;-;-
"ALFEN BEHEER";NL0012817175;4ALFEN;EuroTLX;EUR;16.55;16.55;16.55;16.55;"22/08/2024 09:26";CET;200;3310.00;16.065;26/08/2024
"ALFIO BARDOLLA";IT0005244030;ABTG;"Euronext Growth Milan";EUR;2.62;2.62;2.60;2.60;"26/08/2024 17:12";CET;3150;8218.00;2.60;26/08/2024
ALFONSINO;IT0005466039;ALFO;"Euronext Growth Milan";EUR;'0.443;'0.465;'0.42;'0.421;"26/08/2024 17:35";CET;109000;47032.00;'0.421;26/08/2024
ALGOWATT;IT0004359037;ALW;"Euronext Milan";EUR;'0.2295;'0.2295;'0.229;'0.2295;"'03/05/2024 16:18";CET;28971;6646.17;'0.2295;26/08/2024
ALGREEN;FR001400IV58;ALGRE;"Euronext Growth Paris";EUR;'0.005;'0.0052;'0.0048;'0.005;"26/08/2024 17:35";CET;1511501;7319.51;'0.005;26/08/2024
ALIAXIS;BE0941243520;-;"Euronext Expert Market";EUR;31.00;31.00;31.00;31.00;"20/08/2024 11:30";CET;788;24428.00;31.00;26/08/2024
ALKEMY;IT0005314635;ALK;"Euronext Milan";EUR;12.30;12.40;12.25;12.25;"26/08/2024 17:35";CET;9512;'117135.10;12.25;26/08/2024
ALLCORE;IT0005461303;CORE;"Euronext Growth Milan";EUR;1.495;1.55;1.495;1.55;"26/08/2024 17:22";CET;10966;16858.81;1.55;26/08/2024
